krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,B-brez-stdout,obremenitev,9,cadvisor,3.44,43.74MiB
1,B-brez-stdout,obremenitev,9,grafana,0.12,53.41MiB
1,B-brez-stdout,obremenitev,9,elasticsearch,7.40,1.961GiB
1,B-brez-stdout,obremenitev,9,kibana,8.39,650.4MiB
1,B-brez-stdout,obremenitev,9,logstash,15.13,776.6MiB
1,B-brez-stdout,obremenitev,9,alertmanager,0.41,20.08MiB
1,B-brez-stdout,obremenitev,10,prometheus,0.17,48.17MiB
1,B-brez-stdout,obremenitev,10,node-exporter,0.00,8.512MiB
1,B-brez-stdout,obremenitev,10,cadvisor,1.37,43.74MiB
1,B-brez-stdout,obremenitev,10,grafana,0.17,53.41MiB
1,B-brez-stdout,obremenitev,10,elasticsearch,6.93,1.961GiB
1,B-brez-stdout,obremenitev,10,kibana,8.39,650.4MiB
1,B-brez-stdout,obremenitev,10,logstash,21.47,776.7MiB
1,B-brez-stdout,obremenitev,10,alertmanager,0.20,20.08MiB
1,C-samo-filter,mirovanje,1,prometheus,0.00,50.24MiB
1,C-samo-filter,mirovanje,1,node-exporter,0.00,8.566MiB
1,C-samo-filter,mirovanje,1,cadvisor,2.86,45.7MiB
1,C-samo-filter,mirovanje,1,grafana,0.33,53.21MiB
1,C-samo-filter,mirovanje,1,elasticsearch,4.26,1.97GiB
1,C-samo-filter,mirovanje,1,kibana,14.10,651.4MiB
1,C-samo-filter,mirovanje,1,logstash,4.43,765.7MiB
1,C-samo-filter,mirovanje,1,alertmanager,0.26,20.17MiB
1,C-samo-filter,mirovanje,2,prometheus,0.11,50.38MiB
1,C-samo-filter,mirovanje,2,node-exporter,2.54,8.566MiB
1,C-samo-filter,mirovanje,2,cadvisor,4.11,45.69MiB
1,C-samo-filter,mirovanje,2,grafana,0.30,53.21MiB
1,C-samo-filter,mirovanje,2,elasticsearch,3.20,1.97GiB
1,C-samo-filter,mirovanje,2,kibana,11.89,651.4MiB
1,C-samo-filter,mirovanje,2,logstash,2.65,765.8MiB
1,C-samo-filter,mirovanje,2,alertmanager,0.40,20.17MiB
1,C-samo-filter,mirovanje,3,prometheus,0.07,50.25MiB
1,C-samo-filter,mirovanje,3,node-exporter,0.00,8.562MiB
1,C-samo-filter,mirovanje,3,cadvisor,7.14,45.82MiB
1,C-samo-filter,mirovanje,3,grafana,0.22,53.21MiB
1,C-samo-filter,mirovanje,3,elasticsearch,2.00,1.97GiB
1,C-samo-filter,mirovanje,3,kibana,13.11,651.4MiB
1,C-samo-filter,mirovanje,3,logstash,2.67,766MiB
1,C-samo-filter,mirovanje,3,alertmanager,0.64,20.17MiB
1,C-samo-filter,mirovanje,4,prometheus,0.00,50.25MiB
1,C-samo-filter,mirovanje,4,node-exporter,0.00,8.562MiB
1,C-samo-filter,mirovanje,4,cadvisor,6.25,45.7MiB
1,C-samo-filter,mirovanje,4,grafana,0.30,53.21MiB
1,C-samo-filter,mirovanje,4,elasticsearch,3.95,1.97GiB
1,C-samo-filter,mirovanje,4,kibana,16.42,651.7MiB
1,C-samo-filter,mirovanje,4,logstash,9.52,766.1MiB
1,C-samo-filter,mirovanje,4,alertmanager,0.45,20.17MiB
1,C-samo-filter,mirovanje,5,prometheus,0.84,50.25MiB
1,C-samo-filter,mirovanje,5,node-exporter,0.49,8.664MiB
1,C-samo-filter,mirovanje,5,cadvisor,2.59,45.7MiB
1,C-samo-filter,mirovanje,5,grafana,4.06,53.22MiB
1,C-samo-filter,mirovanje,5,elasticsearch,1.97,1.97GiB
1,C-samo-filter,mirovanje,5,kibana,8.55,651.7MiB
1,C-samo-filter,mirovanje,5,logstash,9.58,766.2MiB
1,C-samo-filter,mirovanje,5,alertmanager,0.41,20.17MiB
1,C-samo-filter,mirovanje,6,prometheus,0.00,50.25MiB
1,C-samo-filter,mirovanje,6,node-exporter,0.00,8.664MiB
1,C-samo-filter,mirovanje,6,cadvisor,1.63,45.7MiB
1,C-samo-filter,mirovanje,6,grafana,0.06,53.22MiB
1,C-samo-filter,mirovanje,6,elasticsearch,4.34,1.97GiB
1,C-samo-filter,mirovanje,6,kibana,9.23,651.7MiB
1,C-samo-filter,mirovanje,6,logstash,7.73,766.5MiB
1,C-samo-filter,mirovanje,6,alertmanager,0.24,20.18MiB
1,C-samo-filter,mirovanje,7,prometheus,0.00,50.25MiB
1,C-samo-filter,mirovanje,7,node-exporter,0.00,8.664MiB
1,C-samo-filter,mirovanje,7,cadvisor,2.59,45.7MiB
1,C-samo-filter,mirovanje,7,grafana,0.30,53.21MiB
1,C-samo-filter,mirovanje,7,elasticsearch,2.15,1.97GiB
1,C-samo-filter,mirovanje,7,kibana,8.16,651.7MiB
1,C-samo-filter,mirovanje,7,logstash,25.68,766.9MiB
1,C-samo-filter,mirovanje,7,alertmanager,0.26,20.18MiB
1,C-samo-filter,mirovanje,8,prometheus,0.00,50.88MiB
1,C-samo-filter,mirovanje,8,node-exporter,0.00,8.668MiB
1,C-samo-filter,mirovanje,8,cadvisor,2.23,45.71MiB
1,C-samo-filter,mirovanje,8,grafana,0.19,53.21MiB
1,C-samo-filter,mirovanje,8,elasticsearch,1.72,1.97GiB
1,C-samo-filter,mirovanje,8,kibana,5.79,651.7MiB
1,C-samo-filter,mirovanje,8,logstash,8.77,767.2MiB
1,C-samo-filter,mirovanje,8,alertmanager,0.83,20.18MiB
1,C-samo-filter,mirovanje,9,prometheus,0.00,50.89MiB
1,C-samo-filter,mirovanje,9,node-exporter,0.00,8.668MiB
